Scene, Run, Time (ms)
1, 1, 1391.8804
1, 2, 1256.1177
1, 3, 1256.1352
1, 4, 1278.8881
1, 5, 1247.0923
1, 6, 1272.5484
1, 7, 1267.3876
1, 8, 1278.6969
1, 9, 1255.0073
1, 10, 1277.4643
1, 11, 1283.7693
1, 12, 1273.8215
1, 13, 1298.519
1, 14, 1276.6955
1, 15, 1305.261
1, 16, 1292.4856
1, 17, 1263.3681
1, 18, 1264.3389
1, 19, 1269.9767
1, 20, 1259.0158
2, 1, 2063.3809
2, 2, 2038.8732
2, 3, 2026.6535
2, 4, 2011.6525
2, 5, 1976.6263
2, 6, 2005.5121
2, 7, 2024.3679
2, 8, 2037.8818
2, 9, 2048.2661
2, 10, 2015.2292
2, 11, 2031.0825
2, 12, 2018.9043
2, 13, 2024.2446
2, 14, 2015.3326
2, 15, 2013.236
2, 16, 2041.2144
2, 17, 2007.26
2, 18, 2015.2168
2, 19, 2029.1391
2, 20, 1991.9706
3, 1, 3535.1859
3, 2, 3465.7057
3, 3, 3814.642
3, 4, 3721.4851
3, 5, 3795.7653
3, 6, 3611.5691
3, 7, 3562.2503
3, 8, 3573.0522
3, 9, 3764.9947
3, 10, 3743.2116
3, 11, 3685.2102
3, 12, 3722.9307
3, 13, 3697.5928
3, 14, 3887.2095
3, 15, 4016.4959
3, 16, 3972.6171
3, 17, 3993.81
3, 18, 4047.1632
3, 19, 3875.1034
3, 20, 3959.3276
4, 1, 7824.1526
4, 2, 8586.879
4, 3, 8640.3812
4, 4, 8177.8796
4, 5, 7712.2692
4, 6, 8187.1727
4, 7, 9468.0049
4, 8, 9143.2931
4, 9, 9121.2225
4, 10, 8862.9206
4, 11, 8829.8947
4, 12, 9211.2731
4, 13, 12029.43
4, 14, 12246.5024
4, 15, 12329.1484
4, 16, 10778.4254
4, 17, 11504.7164
4, 18, 12296.178
4, 19, 14997.5399
4, 20, 14959.8765
5, 1, 30110.1668
5, 2, 29837.9253
5, 3, 28312.5398
5, 4, 28982.3792
5, 5, 28252.8426
5, 6, 32665.8355
5, 7, 32529.7121
5, 8, 32640.8732
5, 9, 33239.492
5, 10, 30436.3917
5, 11, 29768.9147
5, 12, 29621.1533
5, 13, 31044.7639
5, 14, 31616.3682
5, 15, 31503.8503
5, 16, 31630.9387
5, 17, 30062.6031
5, 18, 29373.9489
5, 19, 29988.8866
5, 20, 29934.5823
6, 1, 69398.1902
6, 2, 69133.8558
6, 3, 64702.6533
6, 4, 65131.5762
6, 5, 52991.8445
6, 6, 53148.5909
6, 7, 54268.573
6, 8, 61811.2361
6, 9, 60896.9483
6, 10, 58530.7613
6, 11, 58876.3387
6, 12, 41063.687
6, 13, 40999.4542
6, 14, 47699.1873
6, 15, 50820.5474
6, 16, 50989.5375
6, 17, 46166.9525
6, 18, 13023.0386
6, 19, 12236.628
6, 20, 22626.1282
7, 1, 27710.3576
7, 2, 15597.4644
7, 3, 12305.6553
7, 4, 12304.1959
7, 5, 12620.0089
7, 6, 12884.0467
7, 7, 12819.5907
7, 8, 12432.2557
7, 9, 12789.0736
7, 10, 12576.2669
7, 11, 12601.2488
7, 12, 12447.1243
7, 13, 12450.6049
7, 14, 12548.2933
7, 15, 12236.9721
7, 16, 12259.5464
7, 17, 12203.4846
7, 18, 12509.9215
7, 19, 12236.024
7, 20, 12151.1262
8, 1, 21075.0224
8, 2, 21087.8003
8, 3, 21826.7373
8, 4, 21985.9416
8, 5, 21040.8542
8, 6, 21152.2012
8, 7, 22497.9144
8, 8, 22420.9076
8, 9, 22172.599
8, 10, 21780.3527
8, 11, 21665.3115
8, 12, 23392.4242
8, 13, 23115.7126
8, 14, 21608.2412
8, 15, 21960.066
8, 16, 24687.8833
8, 17, 30990.0956
8, 18, 91930.6017
8, 19, 77330.431
8, 20, 89236.2054
